"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",SF,"RB1","9","2 out of 5 stars","0"
"2",1,"CeeDee Lamb",DAL,"WR1","7","3 out of 5 stars","0"
"3",1,"Tyreek Hill",MIA,"WR2","6","2 out of 5 stars","0"
"4",1,"Ja'Marr Chase",CIN,"WR3","12","2 out of 5 stars","+3"
"5",2,"Justin Jefferson",MIN,"WR4","6","3 out of 5 stars","-1"
"6",2,"Bijan Robinson",ATL,"RB2","12","4 out of 5 stars","-1"
"7",2,"Breece Hall",NYJ,"RB3","12","2 out of 5 stars","-1"
"8",2,"Amon-Ra St. Brown",DET,"WR5","5","4 out of 5 stars","0"
"9",2,"A.J. Brown",PHI,"WR6","5","2 out of 5 stars","0"
"10",2,"Garrett Wilson",NYJ,"WR7","12","4 out of 5 stars","+4"
"11",2,"Jonathan Taylor",IND,"RB4","14","2 out of 5 stars","+1"
"12",3,"Puka Nacua",LAR,"WR8","6","3 out of 5 stars","+1"
"13",3,"Jahmyr Gibbs",DET,"RB5","5","3 out of 5 stars","-3"
"14",3,"Derrick Henry",BAL,"RB6","14","3 out of 5 stars","+8"
"15",3,"Saquon Barkley",PHI,"RB7","5","4 out of 5 stars","-4"
"16",3,"Kyren Williams",LAR,"RB8","6","3 out of 5 stars","-1"
"17",3,"Deebo Samuel Sr.",SF,"WR9","9","2 out of 5 stars","+11"
"18",3,"Mike Evans",TB,"WR10","11","3 out of 5 stars","+15"
"19",3,"Marvin Harrison Jr.",ARI,"WR11","11","3 out of 5 stars","-2"
"20",3,"Josh Allen",BUF,"QB1","12","1 out of 5 stars","+1"
"21",3,"Brandon Aiyuk",SF,"WR12","9","2 out of 5 stars","+9"
"22",4,"Chris Olave",NO,"WR13","12","3 out of 5 stars","+2"
"23",4,"Travis Etienne Jr.",JAC,"RB9","12","2 out of 5 stars","-7"
"24",4,"Drake London",ATL,"WR14","12","4 out of 5 stars","-5"
"25",4,"Nico Collins",HOU,"WR15","14","3 out of 5 stars","+2"
"26",4,"Jalen Hurts",PHI,"QB2","5","2 out of 5 stars","+6"
"27",4,"Davante Adams",LV,"WR16","10","3 out of 5 stars","-9"
"28",4,"DK Metcalf",SEA,"WR17","10","3 out of 5 stars","+11"
"29",4,"Sam LaPorta",DET,"TE1","5","3 out of 5 stars","-4"
"30",4,"Patrick Mahomes II",KC,"QB3","6","3 out of 5 stars","+7"
"31",4,"Isiah Pacheco",KC,"RB10","6","3 out of 5 stars","-5"
"32",4,"Lamar Jackson",BAL,"QB4","14","4 out of 5 stars","+9"
"33",4,"Jaylen Waddle",MIA,"WR18","6","2 out of 5 stars","+3"
"34",4,"DJ Moore",CHI,"WR19","7","4 out of 5 stars","+6"
"35",4,"Travis Kelce",KC,"TE2","6","3 out of 5 stars","-6"
"36",5,"De'Von Achane",MIA,"RB11","6","3 out of 5 stars","-16"
"37",5,"Amari Cooper",CLE,"WR20","10","3 out of 5 stars","+18"
"38",5,"DeVonta Smith",PHI,"WR21","5","2 out of 5 stars","+5"
"39",5,"Cooper Kupp",LAR,"WR22","6","3 out of 5 stars","+3"
"40",5,"Josh Jacobs",GB,"RB12","10","1 out of 5 stars","-17"
"41",5,"Joe Mixon",HOU,"RB13","14","3 out of 5 stars","+4"
"42",5,"Kenneth Walker III",SEA,"RB14","10","4 out of 5 stars","+2"
"43",5,"George Pickens",PIT,"WR23","9","1 out of 5 stars","+9"
"44",5,"Tee Higgins",CIN,"WR24","12","2 out of 5 stars","+12"
"45",5,"James Cook",BUF,"RB15","12","2 out of 5 stars","-7"
"46",5,"Michael Pittman Jr.",IND,"WR25","14","4 out of 5 stars","-15"
"47",5,"Malik Nabers",NYG,"WR26","11","3 out of 5 stars","+1"
"48",5,"Rachaad White",TB,"RB16","11","5 out of 5 stars","-14"
"49",5,"Anthony Richardson",IND,"QB5","14","5 out of 5 stars","+4"
"50",6,"Mark Andrews",BAL,"TE3","14","3 out of 5 stars","-1"
"51",6,"C.J. Stroud",HOU,"QB6","14","2 out of 5 stars","-1"
"52",6,"Tank Dell",HOU,"WR27","14","3 out of 5 stars","+13"
"53",6,"Stefon Diggs",HOU,"WR28","14","3 out of 5 stars","-18"
"54",6,"David Montgomery",DET,"RB17","5","3 out of 5 stars","+13"
"55",6,"Zay Flowers",BAL,"WR29","14","3 out of 5 stars","-1"
"56",6,"Kyler Murray",ARI,"QB7","11","2 out of 5 stars","+19"
"57",6,"Joe Burrow",CIN,"QB8","12","2 out of 5 stars","+5"
"58",6,"Trey McBride",ARI,"TE4","11","5 out of 5 stars","-11"
"59",6,"Dak Prescott",DAL,"QB9","7","2 out of 5 stars","+15"
"60",6,"Alvin Kamara",NO,"RB18","12","5 out of 5 stars","-14"
"61",6,"James Conner",ARI,"RB19","11","2 out of 5 stars","-2"
"62",6,"Christian Kirk",JAC,"WR30","12","4 out of 5 stars","+7"
"63",6,"Rhamondre Stevenson",NE,"RB20","14","2 out of 5 stars","-5"
"64",6,"Terry McLaurin",WAS,"WR31","14","3 out of 5 stars","+4"
"65",6,"Aaron Jones",MIN,"RB21","6","3 out of 5 stars","-8"
"66",6,"Jordan Love",GB,"QB10","10","5 out of 5 stars","+6"
"67",7,"Najee Harris",PIT,"RB22","9","4 out of 5 stars","-1"
"68",7,"Zamir White",LV,"RB23","10","3 out of 5 stars","+2"
"69",7,"Calvin Ridley",TEN,"WR32","5","4 out of 5 stars","+9"
"70",7,"Raheem Mostert",MIA,"RB24","6","3 out of 5 stars","+9"
"71",7,"George Kittle",SF,"TE5","9","4 out of 5 stars","-7"
"72",7,"Jayden Reed",GB,"WR33","10","4 out of 5 stars","+5"
"73",7,"Keenan Allen",CHI,"WR34","7","4 out of 5 stars","-10"
"74",7,"Brock Purdy",SF,"QB11","9","2 out of 5 stars","+25"
"75",7,"Kyle Pitts",ATL,"TE6","12","3 out of 5 stars","-14"
"76",7,"D'Andre Swift",CHI,"RB25","7","2 out of 5 stars","-16"
"77",7,"Diontae Johnson",CAR,"WR35","11","5 out of 5 stars","+10"
"78",7,"Chris Godwin",TB,"WR36","11","3 out of 5 stars","-5"
"79",7,"Rashee Rice",KC,"WR37","6","3 out of 5 stars","+6"
"80",7,"Dalton Kincaid",BUF,"TE7","12","2 out of 5 stars","-29"
"81",7,"Jayden Daniels",WAS,"QB12","14","3 out of 5 stars","+27"
"82",7,"Brian Robinson Jr.",WAS,"RB26","14","3 out of 5 stars","+14"
"83",7,"Tony Pollard",TEN,"RB27","5","3 out of 5 stars","-3"
"84",7,"Hollywood Brown",KC,"WR38","6","3 out of 5 stars","-2"
"85",7,"Christian Watson",GB,"WR39","10","4 out of 5 stars","+13"
"86",7,"Tua Tagovailoa",MIA,"QB13","6","2 out of 5 stars","+20"
"87",7,"DeAndre Hopkins",TEN,"WR40","5","4 out of 5 stars","+5"
"88",7,"Jared Goff",DET,"QB14","5","4 out of 5 stars","+17"
"89",8,"Zack Moss",CIN,"RB28","12","3 out of 5 stars","-13"
"90",8,"Xavier Worthy",KC,"WR41","6","3 out of 5 stars","-6"
"91",8,"Devin Singletary",NYG,"RB29","11","3 out of 5 stars","-3"
"92",8,"Caleb Williams",CHI,"QB15","7","4 out of 5 stars","+9"
"93",8,"David Njoku",CLE,"TE8","10","3 out of 5 stars","-4"
"94",8,"Jake Ferguson",DAL,"TE9","7","2 out of 5 stars","-4"
"95",8,"Trevor Lawrence",JAC,"QB16","12","5 out of 5 stars","+27"
"96",8,"Evan Engram",JAC,"TE10","12","3 out of 5 stars","-25"
"97",8,"Jaylen Warren",PIT,"RB30","9","4 out of 5 stars","-14"
"98",8,"Javonte Williams",DEN,"RB31","14","4 out of 5 stars","-3"
"99",8,"Gus Edwards",LAC,"RB32","5","4 out of 5 stars","+17"
"100",8,"Jonathon Brooks",CAR,"RB33","11","4 out of 5 stars","-19"
"101",8,"Justin Herbert",LAC,"QB17","5","2 out of 5 stars","+12"
"102",8,"Jordan Addison",MIN,"WR42","6","3 out of 5 stars","-9"
"103",8,"Courtland Sutton",DEN,"WR43","14","2 out of 5 stars","+16"
"104",8,"Kirk Cousins",ATL,"QB18","12","3 out of 5 stars","+23"
"105",8,"Nick Chubb",CLE,"RB34","10","4 out of 5 stars","-19"
