Rank,Player,Pos,ESPN,SLEEPER,NFL,RTSPORTS,AVG
1,Christian McCaffrey SF (9),RB1,1,1,1,1,1
2,CeeDee Lamb DAL (7),WR1,2,2,2,2,2
3,Tyreek Hill MIA (6),WR2,3,3,3,3,3.2
4,Breece Hall NYJ (12),RB2,4,8,7,4,5.2
5,Ja'Marr Chase CIN (12),WR3,6,5,4,8,5.8
6,Justin Jefferson MIN (6),WR4,8,4,5,6,6
7,Bijan Robinson ATL (12),RB3,5,7,8,5,6
8,Amon-Ra St. Brown DET (5),WR5,7,6,6,7,6.8
9,A.J. Brown PHI (5),WR6,9,9,9,12,10.2
10,Saquon Barkley PHI (5),RB4,10,14,11,9,10.6
11,Jonathan Taylor IND (14),RB5,11,13,12,10,11.2
12,Puka Nacua LAR (6),WR7,12,10,10,13,11.8
13,Jahmyr Gibbs DET (5),RB6,13,11,13,11,11.8
14,Garrett Wilson NYJ (12),WR8,14,12,15,14,14
15,Kyren Williams LAR (6),RB7,15,16,20,16,16
16,Marvin Harrison Jr. ARI (11),WR9,22,15,14,20,17.6
17,Travis Etienne Jr. JAC (12),RB8,18,21,21,15,18.2
18,Davante Adams LV (10),WR10,20,17,18,17,18.6
19,Derrick Henry BAL (14),RB9,16,26,16,19,19
20,Isiah Pacheco KC (6),RB10,17,31,19,22,21.6
21,Travis Kelce KC (6),TE1,19,25,23,31,23.6
22,Chris Olave NO (12),WR11,21,20,25,26,24.2
23,Sam LaPorta DET (5),TE2,24,19,26,27,24.8
24,Drake London ATL (12),WR12,33,18,22,23,25.4
25,De'Von Achane MIA (6),RB11,30,24,31,18,25.8
26,Josh Allen BUF (12),QB1,26,22,27,32,26
27,Patrick Mahomes II KC (6),QB2,23,34,28,40,29.8
28,Josh Jacobs GB (10) Q,RB12,39,27,36,21,30
29,Mike Evans TB (11),WR13,28,28,24,43,31.2
30,Jalen Hurts PHI (5),QB3,27,33,34,41,31.4
31,Brandon Aiyuk SF (9),WR14,41,23,17,44,32
32,Nico Collins HOU (14),WR15,36,29,37,29,32.2
