,,,,,PASSING,RUSHING,RECEIVING,DEFENSE,,,,,,,,,,
RK,NAME ,TEAM ,POS ,GP ,YDS ,TD ,INT ,YDS ,TD ,REC ,YDS ,TD ,SCK ,INT ,FF ,FR ,FPTS/G ,FPTS 
1,Christian McCaffrey,SF,RB,16,0,0,0,1459,14,67,564,7,0,0,0,0,24.5,391.3
2,Breece Hall,NYJ,RB,17,0,0,0,994,5,76,591,4,0,0,0,0,17.1,290.5
3,Travis Etienne Jr.,JAX,RB,17,0,0,0,1008,11,58,476,1,0,0,0,0,16.6,282.4
4,Rachaad White,TB,RB,17,0,0,0,990,6,64,549,3,0,0,0,0,15.8,267.9
5,Raheem Mostert,MIA,RB,15,0,0,0,1012,18,25,175,3,0,0,0,0,17.8,267.7
6,Joe Mixon,CIN,RB,17,0,0,0,1034,9,52,376,3,0,0,0,0,15.7,267
7,Kyren Williams,LAR,RB,12,0,0,0,1144,12,32,206,3,0,0,0,0,21.2,255
8,Derrick Henry,TEN,RB,17,14,2,0,1167,12,28,214,0,0,0,0,0,14.5,246.7
9,Bijan Robinson,ATL,RB,17,0,0,0,976,4,58,487,4,0,0,0,0,14.5,246.3
10,Jahmyr Gibbs,DET,RB,15,0,0,0,945,10,52,316,1,0,0,0,0,16.1,242.1
11,Alvin Kamara,NO,RB,13,0,0,0,694,5,75,466,1,0,0,0,0,17.9,233
12,James Cook,BUF,RB,17,0,0,0,1122,2,44,445,4,0,0,0,0,13.7,232.7
13,Saquon Barkley,NYG,RB,14,0,0,0,962,6,41,280,4,0,0,0,0,15.9,223.2
14,Tony Pollard,DAL,RB,17,0,0,0,1005,6,55,311,0,0,0,0,0,13.1,222.6
15,Isiah Pacheco,KC,RB,14,0,0,0,935,7,44,244,2,0,0,0,0,15.3,213.9
16,Jerome Ford,CLE,RB,17,0,0,0,813,4,44,319,5,0,0,0,0,12.4,211.2
17,David Montgomery,DET,RB,14,0,0,0,1015,13,16,117,0,0,0,0,0,14.8,207.2
18,James Conner,ARI,RB,13,0,0,0,1040,7,27,165,2,0,0,0,0,15.5,201.5
19,Kenneth Walker III,SEA,RB,15,0,0,0,905,8,29,259,1,0,0,0,0,13.3,199.4
20,D'Andre Swift,PHI,RB,16,0,0,0,1049,5,39,214,1,0,0,0,0,12.5,199.3
21,Brian Robinson Jr.,WAS,RB,15,0,0,0,733,5,36,368,4,0,0,0,0,13.2,198.1
22,Jaylen Warren,PIT,RB,17,0,0,0,784,4,61,370,0,0,0,0,0,11.6,196.4
23,Najee Harris,PIT,RB,17,0,0,0,1035,8,29,170,0,0,0,0,0,11.5,195.5
24,De'Von Achane,MIA,RB,11,0,0,0,800,8,27,197,3,0,0,0,0,17.3,190.7
25,Gus Edwards,BAL,RB,17,0,0,0,810,13,12,180,0,0,0,0,0,11,187
26,Austin Ekeler,LAC,RB,14,0,0,0,628,5,51,436,1,0,0,0,0,13.2,185.4
27,Chuba Hubbard,CAR,RB,17,0,0,0,902,5,39,233,0,0,0,0,0,10.7,182.5
28,Josh Jacobs,LV,RB,13,0,0,0,805,6,37,296,0,0,0,0,0,13.9,181.1
29,Javonte Williams,DEN,RB,16,0,0,0,774,3,47,228,2,0,0,0,0,11.2,179.2
30,Ezekiel Elliott,NE,RB,17,0,0,0,642,3,51,313,2,0,0,0,0,10.3,174.5
31,Zack Moss,IND,RB,14,0,0,0,794,5,27,192,2,0,0,0,0,12.1,169.6
32,Devin Singletary,HOU,RB,17,6,1,0,898,4,30,193,0,0,0,0,0,9.8,167.3
33,Jonathan Taylor,IND,RB,10,0,0,0,741,7,19,153,1,0,0,0,0,15.6,156.4
34,Tyjae Spears,TEN,RB,17,0,0,0,453,2,52,385,1,0,0,0,0,9,153.8
35,Rhamondre Stevenson,NE,RB,12,0,0,0,619,4,38,238,0,0,0,0,0,12.1,145.7
36,Tyler Allgeier,ATL,RB,17,0,0,0,683,4,18,193,1,0,0,0,0,8.1,137.6
37,Aaron Jones,GB,RB,11,0,0,0,656,2,30,233,1,0,0,0,0,12.3,134.9
38,Alexander Mattison,MIN,RB,16,0,0,0,700,0,30,192,3,0,0,0,0,8.3,133.2
39,Antonio Gibson,WAS,RB,16,0,0,0,265,1,48,389,2,0,0,0,0,8,127.4
40,Samaje Perine,DEN,RB,17,0,0,0,238,1,50,455,0,0,0,0,0,7.1,121.3
41,Kareem Hunt,CLE,RB,15,0,0,0,411,9,15,84,0,0,0,0,0,7.9,118.5
42,AJ Dillon,GB,RB,15,0,0,0,613,2,22,223,0,0,0,0,0,7.8,117.6
43,Khalil Herbert,CHI,RB,12,0,0,0,611,2,20,134,1,0,0,0,0,9.4,112.5
44,Justice Hill,BAL,RB,16,0,0,0,387,3,28,206,1,0,0,0,0,6.8,109.3
45,Zach Charbonnet,SEA,RB,16,0,0,0,462,1,33,209,0,0,0,0,0,6.6,106.1
46,Jaleel McLaughlin,DEN,RB,17,0,0,0,410,1,31,160,2,0,0,0,0,6.2,106
47,Roschon Johnson,CHI,RB,15,0,0,0,352,2,34,209,0,0,0,0,0,6.8,102.1
48,Ty Chandler,MIN,RB,17,0,0,0,461,3,21,159,0,0,0,0,0,5.9,101
49,Kenneth Gainwell,PHI,RB,16,17,0,0,364,2,30,183,0,0,0,0,0,6.1,97.4
50,Rico Dowdle,DAL,RB,16,0,0,0,361,2,17,144,2,0,0,0,0,5.7,91.5
51,D'Onta Foreman,CHI,RB,9,0,0,0,425,4,11,77,1,0,0,0,0,10.1,91.2
52,Miles Sanders,CAR,RB,16,0,0,0,432,1,27,154,0,0,0,0,0,5.5,87.6
53,Jerick McKinnon,KC,RB,12,4,1,0,60,1,25,192,4,0,0,0,0,7,84.4
54,Latavius Murray,BUF,RB,16,0,0,0,300,4,17,119,0,0,0,0,0,5.2,82.9
55,Dameon Pierce,HOU,RB,14,0,0,0,416,2,13,101,0,0,0,0,0,5.5,76.7
56,Zamir White,LV,RB,17,0,0,0,451,1,15,98,0,0,0,0,0,4.3,73.9
57,Emari Demercado,ARI,RB,14,0,0,0,284,2,21,119,0,0,0,0,0,5.2,73.3
58,Clyde Edwards-Helaire,KC,RB,15,0,0,0,223,1,17,188,1,0,0,0,0,4.7,70.1
59,Keaton Mitchell,BAL,RB,8,0,0,0,396,2,9,93,0,0,0,0,0,8.7,69.9
60,Joshua Kelley,LAC,RB,17,0,0,0,405,2,8,32,0,0,0,0,0,3.6,61.7
61,Jamaal Williams,NO,RB,13,0,0,0,306,1,18,62,0,0,0,0,0,4.7,60.8
62,Michael Carter,ARI,RB,15,0,0,0,187,0,24,101,1,0,0,0,0,3.9,58.8
63,Chase Brown,CIN,RB,12,0,0,0,179,0,14,156,1,0,0,0,0,4.5,53.5
64,Elijah Mitchell,SF,RB,11,0,0,0,281,2,6,14,0,0,0,0,0,4.3,47.5
65,Matt Breida,NYG,RB,17,0,0,0,151,1,17,88,0,0,0,0,0,2.8,46.9
66,Cam Akers,MIN,RB,7,0,0,0,167,2,11,70,0,0,0,0,0,6.7,46.7
67,Royce Freeman,LAR,RB,14,0,0,0,319,2,1,13,0,0,0,0,0,3.3,46.2
68,Jordan Mason,SF,RB,17,0,0,0,206,3,3,31,0,0,0,0,0,2.6,44.7
69,Darrell Henderson Jr.,LAR,RB,4,0,0,0,112,2,10,103,0,0,0,0,0,10.9,43.5
70,Kendre Miller,NO,RB,8,0,0,0,156,1,10,117,0,0,0,0,0,5.4,43.3
71,Salvon Ahmed,MIA,RB,8,0,0,0,61,1,16,88,1,0,0,0,0,5.4,42.9
72,Pierre Strong Jr.,CLE,RB,17,0,0,0,291,1,5,47,0,0,0,1,0,2.5,42.8
73,Jeff Wilson Jr.,MIA,RB,10,0,0,0,188,0,14,85,0,0,0,0,0,4.1,41.3
74,Ameer Abdullah,LV,RB,17,0,0,0,89,0,19,131,0,0,0,0,0,2.4,41
75,Dalvin Cook,NYJ,RB,15,0,0,0,214,0,15,78,0,0,0,0,0,2.7,40.2
76,Chase Edmonds,TB,RB,13,0,0,0,176,0,14,81,0,0,0,0,0,3.1,39.7
77,Kyle Juszczyk,SF,FB,17,0,0,0,6,0,14,119,2,0,0,0,0,2.3,38.5
78,Chris Rodriguez Jr.,WAS,RB,13,0,0,0,247,2,2,12,0,0,0,0,0,2.9,37.9
79,Cordarrelle Patterson,ATL,RB,14,0,0,0,181,0,9,38,1,0,0,0,0,2.6,36.9
80,D'Ernest Johnson,JAX,RB,17,0,0,0,108,0,10,140,0,0,0,0,0,2,34.8
81,Andrew Beck,HOU,FB,15,0,0,0,3,1,11,55,2,0,0,0,0,2.2,32.8
82,Ty Johnson,BUF,RB,10,0,0,0,132,0,7,62,1,0,0,0,0,3.2,32.4
83,Tony Jones,ARI,RB,7,0,0,0,95,2,7,37,0,0,0,0,0,4.6,32.2
84,Darrynton Evans,MIA,RB,7,0,0,0,121,1,7,49,0,0,0,0,0,4.3,30
85,Patrick Taylor Jr.,GB,RB,11,0,0,0,141,0,11,49,0,0,0,0,0,2.7,30
86,Craig Reynolds,DET,RB,17,0,0,0,179,1,5,47,0,0,0,0,0,1.7,29.6
87,Alec Ingold,MIA,FB,17,0,0,0,0,0,13,119,0,0,0,0,0,1.5,24.9
88,Nick Chubb,CLE,RB,2,0,0,0,170,0,4,21,0,0,0,0,0,11.6,23.1
89,Tank Bigsby,JAX,RB,17,0,0,0,132,2,1,6,0,0,0,0,0,1.3,22.8
90,Kevin Harris,NE,RB,4,0,0,0,65,1,3,58,0,0,0,0,0,5.3,21.3
91,Trey Sermon,IND,RB,14,0,0,0,160,0,3,13,0,0,0,0,0,1.4,20.3
92,Ronnie Rivers,LAR,RB,9,0,0,0,129,0,5,22,0,0,0,0,0,2.2,20.1
93,Melvin Gordon III,BAL,RB,4,0,0,0,81,1,3,46,0,0,0,0,0,4.9,19.7
