Quarterback, Team, Pos Rk, FF Pt, G, P Att, Comp, P Yds, P TD, INT, Sk, Carry, Ru Yds, Ru TD
Jalen Hurts, PHI,1,315,15,496,320,3629,21,11,36,125,537,10
Josh Allen, BUF,2,312,15,518,341,3711,23,12,30,95,497,9
Patrick Mahomes, KC,3,308,15,550,364,4036,33,11,29,62,337,1
Lamar Jackson, BLT,4,305,15,459,299,3390,22,11,39,124,736,6
Joe Burrow, CIN,5,278,15,554,368,4121,27,11,42,53,173,3
Dak Prescott, DAL,6,277,15,550,373,4079,27,12,35,51,227,2
C.J. Stroud, HST,7,275,15,542,350,4049,27,11,38,45,181,3
Anthony Richardson, IND,8,272,15,488,312,3383,15,12,36,116,543,9
Aaron Rodgers, NYJ,9,264,15,520,342,3838,27,9,32,34,109,2
Kyler Murray, ARZ,10,264,15,514,339,3543,17,12,34,88,488,5
Brock Purdy, SF,11,259,15,476,318,3906,24,11,33,47,173,2
Jordan Love, GB,12,258,15,510,325,3674,26,13,33,51,211,3
Jayden Daniels, WAS,13,258,15,513,321,3463,16,14,41,106,584,5
Deshaun Watson, CLV,14,258,15,491,313,3784,21,11,42,70,361,3
Kirk Cousins, ATL,15,252,15,536,347,3997,25,11,36,33,117,2
Justin Herbert, LAC,16,252,15,495,322,3559,23,10,31,60,257,2
Caleb Williams, CHI,17,251,15,512,331,3536,23,13,39,62,311,3
Trevor Lawrence, JAX,18,248,15,536,348,3761,20,12,33,58,281,3
Baker Mayfield, TB,19,246,15,540,343,3905,24,12,40,51,162,1
Matthew Stafford, LAR,20,240,15,534,347,4054,23,12,35,26,68,1
Tua Tagovailoa, MIA,21,239,15,519,348,4030,23,12,32,39,113,1
Jared Goff, DET,22,235,15,521,349,3754,23,10,31,33,51,2
Geno Smith, SEA,23,228,14,483,321,3538,20,10,36,48,226,1
Daniel Jones, NYG,24,225,14,491,317,3275,14,11,43,92,487,3
Derek Carr, NO,25,224,15,522,346,3821,22,11,33,31,84,1
Bryce Young, CAR,26,224,15,512,326,3531,20,12,37,46,268,1
Will Levis, TEN,27,224,15,551,349,3821,19,13,39,49,161,2
Russell Wilson, PIT,28,192,13,412,263,2910,15,9,37,58,269,2
Bo Nix, DEN,29,191,14,490,306,3169,16,13,37,44,190,2
Drake Maye, NE,30,190,13,442,280,2948,15,12,34,58,288,2
J.J. McCarthy, MIN,31,187,12,441,280,3009,17,11,32,39,168,2
Gardner Minshew, LV,32,126,9,312,198,2153,10,7,23,27,100,2
Aidan O'Connell, LV,33,112,8,279,178,1928,9,6,20,25,75,1
Sam Darnold, MIN,34,74,5,182,113,1204,7,5,15,19,68,1
Justin Fields, PIT,35,72,17,124,77,849,5,3,13,39,216,1
Jacoby Brissett, NE,36,53,4,142,90,901,4,3,10,15,58,1
Sam Howell, SEA,37,50,3,102,66,718,4,3,8,11,57,1
Drew Lock, NYG,38,45,3,111,70,785,3,3,7,10,41,1
Jarrett Stidham, DEN,39,42,3,105,66,709,4,3,8,11,45,0
Jake Browning, CIN,40,37,2,72,45,497,4,2,5,8,35,1
