Running Back, Team, Pos Rk, FF Pt, G, Carry, Ru Yds, Ru TD, Targ, Rec, Re Yd, Re TD, Car%, Targ%
Evan Hull, IND,81,44,14,47,199,1,11,8,56,0,10%,2%
Trayveon Williams, CIN,82,42,14,38,167,1,12,9,59,0,11%,2%
Chris Rodriguez, WAS,83,40,14,27,116,1,16,12,86,0,7%,3%
Kimani Vidal, LAC,84,37,14,43,176,1,10,8,55,0,10%,2%
Dare Ogunbowale, HST,85,36,14,31,126,1,15,10,74,0,8%,2%
Cordarrelle Patterson, PIT,86,35,14,30,125,1,10,7,54,0,7%,2%
Will Shipley, PHI,87,35,14,33,141,1,10,8,56,0,7%,2%
Jordan Mason, SF,88,32,14,36,164,1,5,4,27,0,8%,1%
Julius Chestnut, TEN,89,32,13,27,113,1,11,9,61,0,8%,2%
Kenny McIntosh, SEA,90,32,13,27,114,1,11,8,58,0,7%,2%
Craig Reynolds, DET,91,31,14,30,125,1,8,6,47,0,7%,1%
Kyle Juszczyk, SF,92,29,14,5,20,0,15,12,88,1,1%,3%
Jase McClellan, ATL,93,28,13,32,133,1,5,4,31,0,8%,1%
Samaje Perine, DEN,94,27,14,19,81,0,11,9,64,0,5%,2%
Jamycal Hasty, NE,95,27,13,22,95,1,11,8,51,0,6%,2%
AJ Dillon, GB,96,26,14,33,128,1,5,4,31,0,8%,1%
Deuce Vaughn, DAL,97,25,14,12,53,0,12,9,65,0,3%,2%
Alec Ingold, MIA,98,25,14,0,0,0,17,13,95,0,0%,3%
Ronnie Rivers, LAR,99,25,14,27,115,1,5,4,30,0,7%,1%
Isaac Guerendo, SF,100,25,13,27,116,1,5,4,27,0,6%,1%
Dylan Laube, LV,101,24,14,15,62,0,11,8,60,0,4%,2%
Israel Abanikanda, NYJ,102,24,14,25,107,1,5,4,29,0,6%,1%
Rasheen Ali, BLT,103,21,14,17,70,0,7,6,41,0,4%,1%
Keaontay Ingram, KC,104,21,13,22,90,1,6,4,30,0,6%,1%
Myles Gaskin, MIN,105,17,13,25,99,1,3,2,14,0,7%,0%
Jaret Patterson, LAC,106,17,13,17,71,0,5,4,28,0,4%,1%
Chris Evans, CIN,107,15,14,10,44,0,6,5,31,0,3%,1%
Chris Brooks, MIA,108,15,13,12,50,0,5,4,29,0,3%,1%
Sean Tucker, TB,109,15,13,11,47,0,6,4,30,0,3%,1%
Cam Akers, HST,110,15,13,19,75,0,3,2,16,0,5%,0%
La'Mical Perine, PIT,111,14,13,13,53,0,5,4,26,0,3%,1%
Raheem Blackshear, CAR,112,14,14,12,52,0,3,3,18,0,3%,1%
DeeJay Dallas, ARZ,113,13,14,8,35,0,5,4,25,0,2%,1%
Kene Nwangwu, MIN,114,13,14,11,45,0,3,2,14,0,3%,0%
Sione Vaki, DET,115,13,14,13,53,0,3,2,14,0,3%,0%
Darrynton Evans, BUF,116,13,13,8,33,0,5,4,29,0,2%,1%
Michael Burton, DEN,117,12,14,8,32,0,6,4,29,0,2%,1%
Avery Williams, ATL,118,12,14,4,17,0,5,4,30,0,1%,1%
Jacob Saylors, NYG,119,12,13,7,29,0,5,4,28,0,2%,1%
Hunter Luepke, DAL,120,12,14,4,18,0,6,5,33,0,1%,1%
