Tight End, Team, Pos Rk, FF Pt, G, Carry, Ru Yds, Ru TD, Targ, Rec, Re Yd, Re TD, Car%, Targ%
Sam LaPorta, DET,1,210,15,0,0,0,119,84,861,7,0%,21%
Travis Kelce, KC,2,209,15,2,1,0,108,83,837,7,1%,18%
Mark Andrews, BLT,3,198,15,0,0,0,107,74,819,7,0%,21%
Trey McBride, ARZ,4,183,15,0,0,0,112,83,796,3,0%,20%
Evan Engram, JAX,5,183,15,0,0,0,118,87,786,3,0%,20%
George Kittle, SF,6,175,15,0,0,0,88,63,845,5,0%,17%
Dalton Kincaid, BUF,7,171,15,0,0,0,102,75,728,4,0%,18%
David Njoku, CLV,8,170,15,0,0,0,92,64,752,5,0%,17%
Kyle Pitts, ATL,9,169,15,0,0,0,99,60,831,4,0%,17%
Jake Ferguson, DAL,10,166,15,0,0,0,92,65,676,5,0%,15%
Dallas Goedert, PHI,11,152,15,0,0,0,91,66,687,3,0%,17%
Brock Bowers, LV,12,144,15,0,0,0,86,57,652,4,0%,15%
T.J. Hockenson, MIN,13,143,12,0,0,0,93,64,617,3,0%,16%
Pat Freiermuth, PIT,14,139,15,0,0,0,82,57,590,4,0%,16%
Cole Kmet, CHI,15,133,15,2,1,0,78,58,519,4,1%,14%
Dalton Schultz, HST,16,132,15,0,0,0,77,53,538,4,0%,13%
Tyler Conklin, NYJ,17,128,15,0,0,0,74,53,527,4,0%,13%
Taysom Hill, NO,18,124,15,61,295,3,40,30,274,2,14%,7%
Juwan Johnson, NO,19,121,15,0,0,0,69,45,511,4,0%,12%
Chigoziem Okonkwo, TEN,20,118,15,2,1,0,73,50,540,2,1%,12%
Cade Otton, TB,21,110,15,0,0,0,65,43,457,3,0%,11%
Hunter Henry, NE,22,110,15,0,0,0,68,44,432,4,0%,12%
Noah Fant, SEA,23,103,15,0,0,0,62,46,458,2,0%,11%
Hayden Hurst, LAC,24,99,15,0,0,0,60,41,393,3,0%,11%
Tucker Kraft, GB,25,90,15,0,0,0,53,38,372,3,0%,10%
Mike Gesicki, CIN,26,83,15,0,0,0,48,32,328,3,0%,8%
Jonnu Smith, MIA,27,83,15,2,2,0,46,32,369,2,1%,8%
Dawson Knox, BUF,28,82,15,0,0,0,45,29,323,3,0%,8%
Jelani Woods, IND,29,80,15,0,0,0,48,32,350,2,0%,9%
Luke Musgrave, GB,30,80,15,0,0,0,47,34,337,2,0%,9%
Colby Parkinson, LAR,31,80,15,0,0,0,46,32,319,3,0%,8%
Ben Sinnott, WAS,32,76,15,0,0,0,48,33,333,2,0%,8%
Zach Ertz, WAS,33,76,15,0,0,0,51,32,305,2,0%,9%
Daniel Bellinger, NYG,34,72,15,0,0,0,46,35,291,1,0%,8%
Tyler Higbee, LAR,35,71,11,0,0,0,46,31,320,1,0%,8%
Noah Gray, KC,36,71,15,0,0,0,41,29,289,2,0%,7%
Greg Dulcich, DEN,37,70,15,0,0,0,46,29,330,1,0%,8%
Michael Mayer, LV,38,67,15,0,0,0,42,29,303,1,0%,7%
Will Dissly, LAC,39,65,15,0,0,0,38,30,266,1,0%,7%
Isaiah Likely, BLT,40,63,15,0,0,0,35,24,265,2,0%,7%
